time,status
2024-10-13T01:02:58Z,error
2024-10-14T01:21:45Z,error
2024-10-15T01:19:21Z,error
2024-10-16T01:16:05Z,error
2024-10-17T01:09:27Z,error
2024-10-18T01:42:51Z,error
2024-10-19T00:58:18Z,error
2024-10-20T01:05:13Z,error
2024-10-21T01:24:01Z,error
2024-10-22T01:42:58Z,error
2024-10-23T01:40:42Z,error
2024-10-24T01:08:51Z,error
2024-10-25T00:33:55Z,error
2024-10-26T00:35:49Z,error
2024-10-27T01:55:22Z,error
2024-10-28T01:11:56Z,error
2024-10-29T01:08:19Z,error
2024-10-30T01:04:08Z,error
2024-10-31T01:20:00Z,error
2024-11-01T01:56:19Z,error
2024-11-02T01:04:03Z,error
2024-11-03T01:23:43Z,error
2024-11-04T01:40:40Z,error
2024-11-05T00:45:27Z,error
2024-11-06T00:59:55Z,error
2024-11-07T01:12:43Z,error
2024-11-08T01:06:52Z,error
2024-11-09T00:51:45Z,error
2024-11-10T01:40:16Z,error
2024-11-11T01:26:34Z,error
2024-11-12T00:43:15Z,error
2024-11-13T01:01:29Z,error
2024-11-14T01:11:40Z,error
2024-11-15T00:00:09Z,error
2024-11-16T01:46:54Z,error
2024-11-17T01:24:07Z,error
2024-11-18T01:17:56Z,error
2024-11-19T01:42:38Z,error
2024-11-20T01:49:58Z,error
2024-11-21T01:38:48Z,error
2024-11-22T01:54:25Z,error
2024-11-23T00:34:30Z,error
2024-11-24T01:48:08Z,error
2024-11-25T01:24:07Z,error
2024-11-26T01:55:23Z,error
